AEM RADIATION MODEL vs CAPTURED TRANSIT DATA
Generated: 2026-07-07T10:44:10.577Z
Aem formula (%/Mkm): rad_noshield=0.0734*AU^-2, rad_shield=0.0224*AU^-2, meteoroid_floor=0.0002 ; *distMkm
UNIT NOTE: Aem outputs PERCENT; segment.damage is a FRACTION. Predicted converted to fraction (÷100) to compare.
distMkm = stlDistance_m/1e9 ; AU = SemiMajorAxis_m/1.496e11 ; density = MeteoroidDensity (systemstars.json)
==================================================================================================================================

FULL PER-ROW TABLE (TRANSIT segments)
----------------------------------------------------------------------------------------------------------------------------------
planet   sys     T shield        AU   distMkm      radFrac   floorFrac     predFrac     observed        resid rad%ofPred
ZV-307c  ZV-307  F noshield   1.163     0.000    5.4262e-9  2.0000e-11    5.4462e-9    0.0000e+0   -5.4462e-9      99.6%
ZV-307c  ZV-307  F noshield   1.163     0.000    5.4262e-9  2.0000e-11    5.4462e-9    0.0000e+0   -5.4462e-9      99.6%
ZV-307c  ZV-307  F noshield   1.163     0.000    5.4262e-9  2.0000e-11    5.4462e-9    0.0000e+0   -5.4462e-9      99.6%
ZV-307c  ZV-307  F noshield   1.163     0.000    5.4262e-9  2.0000e-11    5.4462e-9    0.0000e+0   -5.4462e-9      99.6%
ZV-307c  ZV-307  F noshield   1.163     0.000    5.4262e-9  2.0000e-11    5.4462e-9    0.0000e+0   -5.4462e-9      99.6%
ZV-307c  ZV-307  F shield     1.163     0.000    1.6560e-9  2.0000e-11    1.6760e-9    0.0000e+0   -1.6760e-9      98.8%
ZV-307c  ZV-307  F shield     1.163     0.000    1.6560e-9  2.0000e-11    1.6760e-9    0.0000e+0   -1.6760e-9      98.8%
ZV-307c  ZV-307  F shield     1.163     0.000    1.6560e-9  2.0000e-11    1.6760e-9    0.0000e+0   -1.6760e-9      98.8%
ZV-307c  ZV-307  F shield     1.163     0.000    1.6560e-9  2.0000e-11    1.6760e-9    0.0000e+0   -1.6760e-9      98.8%
ZV-307c  ZV-307  F shield     1.163     0.000    1.6560e-9  2.0000e-11    1.6760e-9    0.0000e+0   -1.6760e-9      98.8%
ZV-307c  ZV-307  F shield     1.163     0.000    1.6560e-9  2.0000e-11    1.6760e-9    0.0000e+0   -1.6760e-9      98.8%
ZV-307c  ZV-307  F shield     1.163     0.000    1.6560e-9  2.0000e-11    1.6760e-9    0.0000e+0   -1.6760e-9      98.8%
ZV-307c  ZV-307  F shield     1.163     0.000    1.6560e-9  2.0000e-11    1.6760e-9    0.0000e+0   -1.6760e-9      98.8%
